,Title,Author,Series,Lang,Label
254,"Nellie, 1983",Diganta Sharma,,English,Indian
255,A New Idea of India,Harsh Madhusudhan,,English,Indian
256,Nine Lives: In Search of the Sacred in Modern India,William Dalrymple,,English,Indian
257,17,﻿McCauley Paul J,Unnamed: 3,English,Non-Indian
258,17,Mcauley Paul J,,English,Non-Indian
259,33,Moore G E,Wittgenstein\,,Non-Indian
260,33,Moore G E,Wittgenstein\,,Non-Indian
261,47,Mosley Walter,,English,Non-Indian
262,47,Mosley Walter,,English,Non-Indian
263,48,Herbert James,,English,Non-Indian
264,334,Disch Thomas M,,English,Non-Indian
265,334,Disch Thomas M,,English,Non-Indian
266,361,Westlake Donald E,,English,Non-Indian
267,1492,Johnston Mary,,English,Non-Indian
268,1601,Twain Mark,,English,Non-Indian
269,1601,Twain Mark,,English,Non-Indian
270,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
271,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
272,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
273,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
274,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
275,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
276,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
277,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
278,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
279,1632,Eric Flint; Weber David,Ring of Fire 1,English,Non-Indian
280,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
281,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
282,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
283,1632,Weber David; Flint Eric,,English,Non-Indian
284,1632,Weber David; Flint Eric,,English,Non-Indian
285,1632,Weber David; Flint Eric,,English,Non-Indian
286,1632,Weber David; Flint Eric,,English,Non-Indian
287,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
288,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
289,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
290,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
291,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
292,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
293,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
294,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
295,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
296,1633,Weber David; Flint Eric,,English,Non-Indian
297,1633,Weber David; Flint Eric,,English,Non-Indian
298,1633,Weber David; Flint Eric,,English,Non-Indian
299,1862,Conroy Robert,,English,Non-Indian
300,1901,Conroy Robert,,English,Non-Indian
301,1901,Conroy Robert,,English,Non-Indian
302,1945,Conroy Robert,,English,Non-Indian
303,Best Science Fiction Stories 1949,Dikty T E; Blieler E F,,English,Non-Indian
304,Best Science Fiction Stories 1949,Dikty T E; Blieler E F,,English,Non-Indian
305,2001,Clarke Arthur C,Odessey 1,English,Non-Indian
306,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
307,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
308,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
309,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
310,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
311,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
312,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
313,2001,Clarke Arthur C,Odyssey 1,English,Non-Indian
314,2001,Clarke Arthur C,Odessey 1,English,Non-Indian
315,2001,Clarke Arthur C,Odessey 1,English,Non-Indian
316,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
317,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
318,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
319,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
320,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
321,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
322,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
323,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
324,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
325,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
326,2010,Clarke Arthur C,Odyssey 2,English,Non-Indian
327,2010,Clarke Arthur C,Odissey 2,English,Non-Indian
328,2010,Clarke Arthur C,Odissey 2,English,Non-Indian
329,2010,Clarke Arthur C,Odissey 2,English,Non-Indian
330,2010,Clarke Arthur C,Odissey 2,English,Non-Indian
331,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
332,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
333,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
334,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
335,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
336,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
337,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
338,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
339,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
340,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
341,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
342,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
343,2061,Clarke Arthur C,Odyssey 3,English,Non-Indian
344,2095,Scieszka Jon,Time Warp Trio 5,English,Non-Indian
345,2095,Scieszka Jon,Time Warp Trio 5,English,Non-Indian
346,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
347,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
348,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
349,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
350,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
351,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
